,rank,Youtuber,subscribers,video views,video count,category,started
677,678,FAPTV,"13,400,000","4,975,821,188",595,Comedy,2014
678,679,TV Ana Emilia,"13,400,000","4,344,884,807",493,People & Blogs,2014
679,680,Harry Styles,"13,400,000","4,427,208,053",13,People & Blogs,2017
682,683,Narins Beauty,"13,400,000","2,046,344,368",406,Howto & Style,2014
683,684,Kim Loaiza,"13,400,000","1,092,248,349",12,Music,2019
684,685,YOLO,"13,400,000","638,326,662",117,Comedy,2015
687,688,Wish 107.5,"13,300,000","5,259,245,361","1,552",Music,2014
690,691,MyMissAnand,"13,200,000","4,522,774,674",275,People & Blogs,2014
691,692,PrestonPlayz,"13,200,000","4,655,009,420",694,Gaming,2018
692,693,123 GO! Spanish,"13,200,000","4,639,173,668",340,People & Blogs,2019
693,694,Anaysa,"13,200,000","3,173,575,287",490,Howto & Style,2012
694,695,JD Pantoja,"13,200,000","1,380,896,972",16,People & Blogs,2017
695,696,ETV Jabardasth,"13,100,000","12,102,023,764","7,805",People & Blogs,2015
697,698,SRK MUSIC,"13,100,000","5,680,652,976","4,895",Music,2012
698,699,The LaBrant Fam,"13,100,000","4,606,244,054",586,Comedy,2012
700,701,MSA previously My Story Animated,"13,100,000","5,149,512,811",838,Film & Animation,2019
701,702,The Q,"13,100,000","4,064,473,466",276,People & Blogs,2017
702,703,Desi Gamers,"13,100,000","1,938,724,616","1,223",Gaming,2015
703,704,Matheus Yurley,"13,100,000","741,066,278",238,Entertainment,2015
704,705,Calon Sarjana,"13,000,000","10,664,585",29,Entertainment,2016
705,706,Saturday Night Live,"13,000,000","13,581,231,885","7,996",Entertainment,2013
707,708,ÐŸÐ¾Ð·Ð·Ð¸,"13,000,000","6,244,275,339","3,000",People & Blogs,2012
708,709,The MriDul,"13,000,000","3,545,774,062",96,Comedy,2015
710,711,DALLMYD,"13,000,000","1,738,311,790",616,Sports,2011
711,712,Ð“Ð›Ð•ÐÐ¢,"13,000,000","926,279,238",221,People & Blogs,2019
712,713,Coke Studio,"12,900,000","3,274,234,309",529,Music,2014
714,715,O Reino Infantil,"12,900,000","9,539,435,945","1,055",Music,2014
716,717,Gulshan Kalra,"12,900,000","6,130,500,064",339,Howto & Style,2018
718,719,Matt Steffanina,"12,900,000","2,970,575,636",486,Entertainment,2011
719,720,The Shiny Peanut,"12,900,000","2,839,759,455","2,331",Education,2016
722,723,O Que NÃ£o Dizer Oficial,"12,900,000","1,636,814,649",511,Comedy,2015
723,724,Alex Gonzaga Official,"12,900,000","1,300,528,162",238,People & Blogs,2017
725,726,Infobells Bangla,"12,800,000","6,165,983,944",284,Education,2016
726,727,SMOL,"12,800,000","13,067,020,729","1,960",People & Blogs,2021
727,728,RedeTV,"12,800,000","8,366,717,082","36,800",Entertainment,2011
730,731,T-Series Hamaar Bhojpuri,"12,800,000","6,334,967,135","9,347",Entertainment,2011
736,737,PowerfulJRE,"12,800,000","2,266,640,311",765,People & Blogs,2013
737,738,CookingShooking Hindi,"12,800,000","1,609,903,713",393,People & Blogs,2017
739,740,Dear Sir,"12,800,000","918,548,566",482,Education,2016
740,741,Tsuriki Show,"12,700,000","19,472,063,469","1,617",Entertainment,2019
742,743,Like Nastya Stories,"12,700,000","6,055,781,883",389,Entertainment,2019
743,744,Top Viral Talent,"12,700,000","6,503,369,315","2,282",Entertainment,2014
744,745,Jazzghost,"12,700,000","4,639,145,138","5,111",Gaming,2012
745,746,Ei Nerd,"12,700,000","3,207,538,507","5,219",Entertainment,2013
746,747,#RefÃºgio Mental,"12,700,000","2,582,093,496",758,Entertainment,2013
747,748,Ø£ØªØ±Ùˆ/Atro,"12,700,000","2,138,416,538","1,544",Gaming,2017
749,750,That Little Puff,"12,600,000","10,768,365,983",542,Pets & Animals,2020
750,751,Hungria Hip Hop,"12,600,000","3,960,601,978",44,Music,2013
752,753,Lady Diana,"12,600,000","7,265,803,610","1,273",Entertainment,2016
753,754,T-Series Regional,"12,600,000","5,169,203,026","15,573",Entertainment,2011
754,755,Blossom,"12,600,000","4,270,306,760",533,Howto & Style,2017
755,756,Crescendo com Luluca,"12,600,000","4,241,651,530","1,107",Entertainment,2015
756,757,7 Minutoz,"12,600,000","3,916,931,694",511,Music,2012
758,759,BIBOì™€ ìž¥ë‚œê°,"12,600,000","2,875,252,577",152,Entertainment,2016
760,761,Goldmines Premiere,"12,600,000","1,629,550,071",530,Entertainment,2013
761,762,SAAIHALILINTAR,"12,600,000","1,104,329,570",405,Entertainment,2012
762,763,Health Time,"12,600,000","978,876,224","1,604",Howto & Style,2016
763,764,Ja Mill,"12,500,000","1,302,818,088",567,People & Blogs,2016
766,767,VexTrex,"12,500,000","7,198,667,373","3,133",Entertainment,2014
770,771,Parafernalha,"12,500,000","4,547,822,776","1,498",Entertainment,2011
771,772,Rebecca Zamolo,"12,500,000","4,747,533,461",856,Comedy,2011
773,774,StudyIQ IAS,"12,500,000","2,940,312,253","34,843",Education,2015
775,776,Knowledge Tv à¤¹à¤¿à¤¨à¥à¤¦à¥€,"12,500,000","1,446,664,137","1,041",People & Blogs,2014
776,777,ã‚­ãƒƒã‚ºãƒ©ã‚¤ãƒ³â™¡Kids Line,"12,400,000","10,743,601,694","5,581",People & Blogs,2011
777,778,KOMPASTV,"12,400,000","9,025,460,804","225,232",News & Politics,2013
779,780,Ajay Sharma,"12,400,000","9,181,398,526",607,Entertainment,2012
782,783,Sony Music South,"12,400,000","7,036,027,389","1,574",Music,2014
783,784,karameeshchannel,"12,400,000","8,199,848,915","2,122",Entertainment,2012
784,785,Melon City Show - Ø¨Ø±Ù†Ø§Ù…Ø¬ ÙˆÙ„Ø§ÙŠØ© Ø¨Ø·ÙŠØ®,"12,400,000","5,477,760,778","1,592",Comedy,2016
785,786,DJ Khaled,"12,400,000","6,054,112,231",39,Music,2018
786,787,Adexe & Nau,"12,400,000","4,440,271,314",529,Music,2013
787,788,SR Toys Collection,"12,400,000","4,007,664,795",984,Entertainment,2012
789,790,Talking Angela,"12,400,000","3,284,897,861",204,Entertainment,2014
791,792,Kabita's Kitchen,"12,400,000","2,338,362,639","1,234",Howto & Style,2014
792,793,LOUD,"12,400,000","2,305,594,041","1,126",Gaming,2019
793,794,Brawl Stars,"12,400,000","1,796,220,780",130,Gaming,2017
794,795,Piuzinho,"12,400,000","1,022,959,848",463,Gaming,2015
795,796,People Vs Food,"12,400,000","959,616,512",384,Entertainment,2013
797,798,Little Baby Bum en EspaÃ±ol,"12,300,000","6,706,548,354","1,182",Education,2014
798,799,JOJO TV - Hindi Stories,"12,300,000","4,679,118,911",925,Education,2016
799,800,Troom Troom PT,"12,300,000","4,219,567,300","2,430",Howto & Style,2015
800,801,Peppa Pig em PortuguÃªs Brasil - Canal Oficial,"12,300,000","3,807,810,342","1,066",Film & Animation,2014
801,802,Gibby :),"12,300,000","2,761,291,454",203,People & Blogs,2014
802,803,Blockbuster Movies,"12,300,000","2,286,659,867",344,Entertainment,2016
804,805,Come Play With Me,"12,200,000","14,390,156,987",367,Entertainment,2014
805,806,The Dodo,"12,200,000","7,908,428,418","6,993",Pets & Animals,2014
808,809,Ù…Ø§Ø´Ø§ Ùˆ Ø§Ù„Ø¯Ø¨,"12,200,000","6,201,317,137",751,Shows,2017
809,810,Troom Troom India,"12,200,000","6,308,397,105","2,070",Howto & Style,2015
810,811,HZHtube Kids Fun,"12,200,000","3,956,552,948",674,Entertainment,2015
811,812,Its JoJo Siwa,"12,200,000","3,817,813,233",707,Entertainment,2015
812,813,My Mate Nate,"12,200,000","2,748,616,115",981,Comedy,2014
813,814,Bela BagunÃ§a,"12,200,000","2,770,979,129",921,People & Blogs,2015
814,815,Mythpat,"12,200,000","2,590,550,091",322,Entertainment,2018
816,817,Future,"12,100,000","8,747,974,258",48,Music,2011
818,819,Jass Records,"12,100,000","5,294,095,545","4,241",Music,2014
819,820,DeGoBooM,"12,100,000","4,732,355,492","3,062",Gaming,2014
821,822,MÃ¡s SKabeche,"12,100,000","2,746,045,885",632,Travel & Events,2015
822,823,Davie504,"12,100,000","2,329,241,574",793,Entertainment,2011
823,824,Trakin Tech,"12,100,000","1,809,901,493","3,285",Science & Technology,2011
825,826,Migos ATL,"12,000,000","6,370,982,440",100,Music,2012
826,827,Lana Del Rey,"12,000,000","5,676,001,571",40,Music,2011
827,828,DaniRep | +6 VÃ­deos Diarios De GTA 5 Online!,"12,000,000","6,447,519,975","10,858",Gaming,2012
828,829,ÐšÐ¾Ð¼Ð¿Ð¾Ñ‚,"12,000,000","5,850,856,870","1,863",Gaming,2013
831,832,NORMAN FAIT DES VIDÃ‰OS,"12,000,000","2,681,755,121",205,Comedy,2011
832,833,RaptorGamer,"12,000,000","2,522,809,876","1,207",People & Blogs,2016
835,836,Kylie Jenner,"12,000,000","753,341,022",148,People & Blogs,2015
836,837,Troom Troom Indonesia,"11,900,000","5,012,830,809","1,568",People & Blogs,2019
838,839,The Infographics Show,"11,900,000","4,349,105,305","3,445",Education,2011
840,841,Azhan5star,"11,900,000","6,371,101,819",365,Entertainment,2021
841,842,CHHOTU KI MASTI,"11,900,000","4,064,045,560",106,Comedy,2018
842,843,Yudist Ardhana,"11,900,000","3,925,624,169","2,126",Entertainment,2016
845,846,BanderitaX,"11,900,000","3,347,502,658","1,474",Gaming,2013
846,847,Lulu99,"11,900,000","2,140,151,369",496,Entertainment,2015
847,848,Planet Earth INDIA,"11,900,000","1,722,795,279",630,People & Blogs,2011
849,850,Ice Cream Rolls,"11,900,000","1,469,047,858","1,528",Entertainment,2011
850,851,Yair17,"11,900,000","1,248,384,511",962,Gaming,2014
852,853,Rauw Alejandro,"11,800,000","9,232,920,975",114,Music,2014
853,854,Jamuna TV,"11,800,000","9,144,058,244","84,071",News & Politics,2017
854,855,MBC Ù…ØµØ±,"11,800,000","7,784,893,932","40,608",Entertainment,2012
855,856,CNCO,"11,800,000","6,881,836,992",172,Music,2015
856,857,Kids TV India Hindi Nursery Rhymes,"11,800,000","5,473,328,070","1,185",Shows,2014
857,858,DANIEL EL TRAVIESO VIDEOS,"11,800,000","4,755,190,859",324,Comedy,2014
858,859,Kluna Tik,"11,800,000","4,208,225,754",275,Entertainment,2014
859,860,MrGear,"11,800,000","3,241,537,148",766,Science & Technology,2015
860,861,E-MasterSensei,"11,800,000","3,235,532,845","1,151",Gaming,2016
861,862,Timba Vk,"11,800,000","2,538,254,830",890,Gaming,2012
862,863,MORGENSHTERN,"11,800,000","2,085,751,416",131,Music,2013
864,865,TommyInnit,"11,800,000","1,590,238,217",289,Gaming,2015
865,866,Tfue,"11,800,000","1,461,546,183",741,Gaming,2014
866,867,Bispo Bruno Leonardo,"11,800,000","1,882,150,122","3,439",Nonprofits & Activism,2016
869,870,Technology Gyan,"11,800,000","920,996,435",924,Science & Technology,2015
871,872,Wave Music Bhakti,"11,700,000","4,770,280,667","19,108",Music,2011
872,873,FFUNTV,"11,700,000","9,325,685,889",364,Gaming,2018
873,874,Natti Natasha,"11,700,000","7,264,301,648",130,Music,2015
874,875,Netflix Jr.,"11,700,000","7,314,674,893","1,563",Education,2012
875,876,Nat and Essie,"11,700,000","6,890,942,780",959,Film & Animation,2015
876,877,Mor Haryanvi,"11,700,000","5,768,686,721",402,Music,2015
878,879,Koo Koo TV - Hindi,"11,700,000","4,265,761,191",927,Education,2017
879,880,123 GO!,"11,700,000","4,356,636,895",377,People & Blogs,2019
880,881,Naz | Ù†Ø§Ø²,"11,700,000","2,002,897,892",917,People & Blogs,2016
882,883,emma chamberlain,"11,700,000","1,531,833,342",283,Entertainment,2016
883,884,Dani Russo Tv,"11,700,000","602,060,711",280,Comedy,2014
884,885,FrontaL Gaming,"11,700,000","255,073,454",108,Gaming,2015
885,886,eltrece,"11,600,000","11,106,097,841","149,786",Entertainment,2014
886,887,Alan Chikin Chow,"11,600,000","11,876,297,990",508,Comedy,2020
887,888,Ð›ÑƒÐ½Ð¾Ð¼Ð¾ÑÐ¸Ðº,"11,600,000","5,052,785,110",460,People & Blogs,2015
889,890,Halsey,"11,600,000","4,412,088,740",51,Music,2014
890,891,Republic Bharat,"11,600,000","5,041,539,626","49,789",News & Politics,2019
892,893,åŠžå…¬å®¤å°é‡Ž Ms Yeah,"11,600,000","3,339,092,378",351,People & Blogs,2017
893,894,Morgz,"11,600,000","2,723,781,007",735,Gaming,2014
894,895,First We Feast,"11,600,000","2,485,814,338",819,Howto & Style,2014
896,897,YoungBoy Never Broke Again,"11,500,000","11,015,842,469",475,Entertainment,2015
897,898,TV9 Bharatvarsh,"11,500,000","7,314,674,032","193,940",People & Blogs,2018
899,900,Luli PampÃ­n,"11,500,000","6,102,648,062",225,Music,2012
900,901,Duo Tiempo De Sol,"11,500,000","5,733,616,887",278,Music,2013
902,903,LipaoGamer,"11,500,000","3,837,227,706","10,901",Gaming,2011
903,904,Make Joke Of,"11,500,000","1,832,620,830",42,Comedy,2017
904,905,Garena Free Fire LATAM,"11,500,000","1,587,661,793","1,425",People & Blogs,2018
905,906,Hero Movies 2022,"11,500,000","1,418,615,214",329,People & Blogs,2017
906,907,YtCrash,"11,400,000","3,825,084",1,Education,2015
907,908,infobells - Kannada,"11,400,000","5,209,512,047",353,Education,2014
910,911,ì›ƒì›ƒTwinsFromRussia,"11,400,000","7,802,486,828","3,589",People & Blogs,2011
911,912,Biper y sus Amigos,"11,400,000","4,991,697,738",119,Music,2012
912,913,Vy Qwaint,"11,400,000","5,409,544,753",528,Howto & Style,2014
913,914,ÐœÐ°ÑˆÐ° Ñ‚Ð° Ð’ÐµÐ´Ð¼Ñ–Ð´ÑŒ,"11,400,000","4,942,306,057",994,Shows,2014
914,915,MC Divertida,"11,400,000","4,440,911,293",347,Entertainment,2018
916,917,CrazyRussianHacker,"11,400,000","3,011,607,663","1,970",Science & Technology,2012
917,918,ExpCaseros,"11,400,000","2,515,501,575","1,023",Howto & Style,2012
918,919,Ø§Ù„Ø¬Ø§Ù†Ø¨ Ø§Ù„Ù…ÙØ´Ø±Ù‚ | Bright Side Arabic,"11,400,000","1,605,101,022","5,063",Howto & Style,2018
919,920,MyLifeAsEva,"11,400,000","1,534,278,655",326,Comedy,2011
920,921,GoldminesAction,"11,400,000","1,069,320,125",529,Film & Animation,2015
921,922,Free Fire India Official,"11,300,000","1,389,660,530","1,117",People & Blogs,2018
922,923,Colors Rishtey,"11,300,000","8,954,781,989","13,423",Entertainment,2013
923,924,Yoeslan,"11,300,000","8,789,109,127",240,Entertainment,2020
925,926,Lil Wayne,"11,300,000","5,335,786,775",254,Music,2013
927,928,Star Casablanca | Ù†Ø¬ÙˆÙ… Ø§Ù„Ø¯Ø§Ø± Ø§Ù„Ø¨ÙŠØ¶Ø§Ø¡,"11,300,000","5,129,031,730",998,Music,2015
928,929,UnspeakableGaming,"11,300,000","4,826,278,522","2,444",Gaming,2012
930,931,Simone e Simaria,"11,300,000","4,474,548,691",224,Music,2012
933,934,Tiana,"11,300,000","3,176,486,598",997,Entertainment,2015
934,935,Quantum Tech HD,"11,300,000","3,594,122,308",392,Science & Technology,2015
935,936,Ya - Alisa,"11,300,000","2,127,059,635",332,People & Blogs,2015
936,937,Jaiden Animations,"11,300,000","2,116,631,957",101,Film & Animation,2014
937,938,Ben Azelart,"11,300,000","2,294,003,189",236,Film & Animation,2014
938,939,Yoga With Adriene,"11,300,000","1,188,547,722",649,Howto & Style,2012
939,940,The Viral Fever,"11,200,000","1,656,301,737",433,Entertainment,2011
940,941,Lofi Girl,"11,200,000","1,311,726,533",328,Music,2015
941,942,Marta and Rustam,"11,200,000","12,481,668,186",390,Comedy,2021
942,943,ChainsmokersVEVO,"11,200,000","11,415,809,929",231,Music,2012
946,947,Cut,"11,200,000","4,846,700,433","1,738",Entertainment,2014
947,948,Toys Make Me Smile,"11,200,000","4,562,854,224",102,Entertainment,2015
949,950,Avocado Couple I Crazy Comics,"11,200,000","3,138,496,496",660,Film & Animation,2018
950,951,Fortnite,"11,200,000","2,123,231,155",792,Gaming,2014
951,952,luzugames,"11,200,000","1,978,138,747","2,882",Gaming,2013
952,953,Magic Five,"11,200,000","1,753,589,438",405,Entertainment,2016
953,954,El RincÃ³n De Giorgio,"11,200,000","1,543,663,972",551,Entertainment,2013
954,955,Pastor AntÃ´nio JÃºnior,"11,200,000","1,646,248,092","3,624",People & Blogs,2013
955,956,CarryisLive,"11,200,000","1,371,995,657",893,Gaming,2017
956,957,MaJa Tv Moral Stories Fairy Tales,"11,100,000","4,132,213,251",449,Entertainment,2017
957,958,FunToys Collector Disney Toys Review,"11,100,000","15,050,447,314","2,910",Entertainment,2011
959,960,Morphle TV,"11,100,000","7,586,526,902","1,126",Entertainment,2011
961,962,Chotoonz TV - Funny Cartoons for Kids,"11,100,000","7,015,448,647","1,797",Film & Animation,2013
963,964,ToysPlay,"11,100,000","7,000,333,135",397,Entertainment,2015
964,965,Pari's Lifestyle,"11,100,000","6,680,703,649",356,People & Blogs,2018
967,968,Sky Does Everything,"11,100,000","3,823,868,578","2,101",Music,2011
968,969,BakLol Video,"11,100,000","3,250,851,179",257,Entertainment,2016
969,970,Genius,"11,100,000","2,891,052,624","2,797",Music,2011
970,971,Mo Vlogs,"11,100,000","2,933,099,311","1,906",People & Blogs,2013
971,972,The Film Theorists,"11,100,000","2,242,892,562",355,Film & Animation,2014
972,973,bharatzkitchen HINDI,"11,100,000","1,903,304,025",626,Howto & Style,2016
973,974,Mrwhosetheboss,"11,100,000","1,793,692,542","1,435",Science & Technology,2011
974,975,Acenix,"11,100,000","1,606,057,806",259,Gaming,2014
975,976,HellomaphieMX,"11,100,000","1,584,174,173",382,Howto & Style,2013
976,977,VirgÃ­nia Fonseca,"11,100,000","1,246,793,263","1,047",People & Blogs,2016
979,980,Inside Edition,"11,000,000","19,367,966,533","27,156",News & Politics,2012
980,981,Flowers Comedy,"11,000,000","9,521,653,019","8,840",Entertainment,2015
981,982,Flamingo,"11,000,000","8,874,980,800","2,196",Gaming,2017
982,983,Doja Cat,"11,000,000","5,459,891,400",25,Music,2018
985,986,Emily Tube,"11,000,000","4,040,393,626",770,Entertainment,2014
988,989,Taylor RS,"11,000,000","3,306,502,621","1,845",Gaming,2016
989,990,unknown boy varun,"11,000,000","3,263,285,883",193,Music,2016
990,991,Viih Tube,"11,000,000","886,497,694",505,People & Blogs,2013
991,992,OYUNCAKOYNUYORUM,"10,900,000","9,948,474,904",791,Entertainment,2016
993,994,í•‘í¬í (ì¸ê¸° ë™ìš”ãƒ»ë™í™”),"10,900,000","6,663,450,148","2,726",Education,2014
994,995,OGGY,"10,900,000","5,589,104,660",920,Film & Animation,2014
995,996,JP Plays,"10,900,000","4,609,300,218","3,528",Gaming,2014
996,997,TrapMusicHDTV,"10,900,000","4,070,521,973",690,Music,2013
997,998,Games EduUu,"10,900,000","3,093,784,767","1,006",Gaming,2011
998,999,Hueva,"10,900,000","3,040,301,750",831,Gaming,2012
999,1000,Dobre Brothers,"10,900,000","2,808,411,693",590,People & Blogs,2017
